date,region,latitude,longitude,operation_type,clima,umidade_solo,inclinacao,distancia_agua,velocidade,historico_sinistros,chuva_mm,solo_instavel,clima_code,operation_code,temperatura_c,umidade_ar,pressao_hpa,distancia_obstaculo,gps_accuracy_m,wind_speed_m_s,source,risk_score
20240101,Guarulhos - SP,-23.455,-46.533,transporte,garoa,25.55,10.4,199.95,10.2,4.5,0.16,0,4.0,1.0,22.83,72.25,934.9,7.27,3.1,4.42,NASA POWER Daily API,42.92
20240102,Guarulhos - SP,-23.455,-46.533,campo,garoa,39.39,8.21,215.82,13.92,2.5,1.54,0,4.0,0.0,23.46,74.77,933.2,10.49,2.92,3.14,NASA POWER Daily API,46.55
20240103,Guarulhos - SP,-23.455,-46.533,proximidade_agua,chuva,54.9,7.41,62.12,12.58,4.5,7.66,0,2.0,2.0,23.98,79.43,932.1,12.25,6.06,3.16,NASA POWER Daily API,75.74
20240104,Guarulhos - SP,-23.455,-46.533,campo,chuva,64.06,14.85,85.45,9.04,2.5,5.42,0,2.0,0.0,23.53,80.6,932.8,13.27,9.22,4.02,NASA POWER Daily API,64.4
20240105,Guarulhos - SP,-23.455,-46.533,campo,garoa,61.47,5.36,175.3,14.87,3.5,3.92,0,4.0,0.0,22.99,78.49,933.4,12.38,3.43,3.69,NASA POWER Daily API,55.77
20240106,Guarulhos - SP,-23.455,-46.533,transporte,garoa,71.17,8.7,194.07,19.56,2.5,3.75,0,4.0,1.0,23.37,76.73,934.0,7.88,5.81,3.61,NASA POWER Daily API,65.69
20240107,Guarulhos - SP,-23.455,-46.533,transporte,garoa,59.18,6.98,80.02,16.0,2.5,1.04,0,4.0,1.0,25.27,69.2,933.7,30.58,3.08,2.76,NASA POWER Daily API,56.28
20240108,Guarulhos - SP,-23.455,-46.533,campo,chuva,79.27,6.93,133.83,13.49,2.5,9.6,1,2.0,0.0,27.32,65.52,932.9,15.7,4.09,2.86,NASA POWER Daily API,84.81
20240109,Guarulhos - SP,-23.455,-46.533,campo,garoa,83.46,7.39,11.57,6.71,2.5,1.58,0,4.0,0.0,27.45,63.24,934.1,11.85,5.36,3.07,NASA POWER Daily API,73.4
20240110,Guarulhos - SP,-23.455,-46.533,transporte,garoa,77.37,8.51,173.18,17.05,3.5,4.67,0,4.0,1.0,27.07,68.09,934.1,5.23,4.02,1.85,NASA POWER Daily API,67.23
20240111,Guarulhos - SP,-23.455,-46.533,transporte,chuva,86.34,6.5,121.06,20.38,3.5,6.54,1,2.0,1.0,26.83,70.2,932.8,6.73,3.92,4.53,NASA POWER Daily API,94.34
20240112,Guarulhos - SP,-23.455,-46.533,transporte,tempestade,100.0,3.37,7.57,11.22,4.5,27.43,1,3.0,1.0,24.74,79.17,932.4,25.39,4.07,4.71,NASA POWER Daily API,100.0
20240113,Guarulhos - SP,-23.455,-46.533,transporte,chuva,100.0,7.34,39.25,16.0,3.5,12.31,1,2.0,1.0,21.75,89.02,935.8,11.16,5.64,5.08,NASA POWER Daily API,100.0
20240114,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,8.23,74.99,12.79,2.5,2.11,0,4.0,0.0,24.05,80.94,935.9,33.84,4.34,1.84,NASA POWER Daily API,68.2
20240115,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,8.7,235.53,15.35,2.5,3.36,0,4.0,0.0,26.63,72.8,934.7,29.67,2.58,2.51,NASA POWER Daily API,68.66
20240116,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,6.75,5.0,14.8,2.5,0.52,0,4.0,0.0,27.69,67.99,934.6,1.83,2.83,3.21,NASA POWER Daily API,94.73
20240117,Guarulhos - SP,-23.455,-46.533,transporte,chuva,100.0,14.39,367.68,20.24,2.5,5.23,1,2.0,1.0,27.77,66.3,935.1,0.97,5.74,3.81,NASA POWER Daily API,100.0
20240118,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,6.04,108.03,15.61,3.5,9.91,1,2.0,0.0,26.68,76.02,934.3,2.76,1.97,1.99,NASA POWER Daily API,100.0
20240119,Guarulhos - SP,-23.455,-46.533,transporte,chuva,100.0,13.66,131.07,22.28,3.5,9.55,1,2.0,1.0,25.82,78.33,932.6,2.95,3.32,4.48,NASA POWER Daily API,100.0
20240120,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,10.68,43.25,14.98,2.5,10.08,1,2.0,0.0,24.89,82.98,930.8,6.37,4.84,5.75,NASA POWER Daily API,100.0
20240121,Guarulhos - SP,-23.455,-46.533,proximidade_agua,chuva,100.0,6.54,15.82,0.72,6.5,12.78,1,2.0,2.0,23.11,86.54,933.3,25.55,5.59,5.98,NASA POWER Daily API,100.0
20240122,Guarulhos - SP,-23.455,-46.533,transporte,garoa,100.0,9.37,250.54,19.4,3.5,3.57,0,4.0,1.0,21.94,84.76,935.8,35.46,12.78,5.05,NASA POWER Daily API,76.7
20240123,Guarulhos - SP,-23.455,-46.533,campo,tempestade,100.0,12.68,25.9,4.96,5.5,25.1,1,3.0,0.0,20.02,90.33,934.3,10.18,10.74,5.17,NASA POWER Daily API,100.0
20240124,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,1.44,115.86,7.89,2.5,2.64,0,4.0,0.0,20.12,83.32,932.6,3.21,4.12,4.03,NASA POWER Daily API,51.18
20240125,Guarulhos - SP,-23.455,-46.533,transporte,chuva,100.0,8.1,78.85,16.59,2.5,7.79,1,2.0,1.0,19.94,87.49,932.0,12.32,10.34,4.96,NASA POWER Daily API,98.37
20240126,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,7.28,140.61,12.3,2.5,4.1,0,4.0,0.0,19.55,88.57,934.1,8.05,5.62,6.28,NASA POWER Daily API,64.89
20240127,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,100.0,5.27,95.57,1.08,3.5,2.78,0,4.0,3.0,21.88,82.92,934.3,23.23,3.32,3.72,NASA POWER Daily API,48.85
20240128,Guarulhos - SP,-23.455,-46.533,transporte,chuva,100.0,7.48,29.69,15.58,2.5,8.68,1,2.0,1.0,23.21,78.51,934.9,21.49,4.7,2.0,NASA POWER Daily API,100.0
20240129,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,100.0,14.81,10.57,2.98,3.5,0.74,1,4.0,2.0,23.73,74.74,934.3,2.43,4.04,2.97,NASA POWER Daily API,100.0
20240130,Guarulhos - SP,-23.455,-46.533,campo,garoa,80.01,4.84,99.15,15.48,2.5,0.16,0,4.0,0.0,24.61,70.33,933.6,5.17,4.6,2.47,NASA POWER Daily API,55.81
20240131,Guarulhos - SP,-23.455,-46.533,campo,chuva,82.88,7.15,139.73,8.83,2.5,5.63,1,2.0,0.0,24.02,77.17,935.0,19.34,5.4,1.28,NASA POWER Daily API,76.38
20240201,Guarulhos - SP,-23.455,-46.533,campo,garoa,71.45,8.0,58.67,13.2,2.5,1.86,0,4.0,0.0,22.67,76.9,937.5,80.0,15.66,2.8,NASA POWER Daily API,64.5
20240202,Guarulhos - SP,-23.455,-46.533,transporte,chuva,96.09,5.56,25.45,23.03,2.5,11.05,1,2.0,1.0,22.05,85.17,938.8,11.66,1.9,3.04,NASA POWER Daily API,100.0
20240203,Guarulhos - SP,-23.455,-46.533,proximidade_agua,garoa,85.72,4.45,79.92,8.91,3.5,2.3,0,4.0,2.0,23.55,81.23,938.3,6.7,4.31,2.14,NASA POWER Daily API,59.78
20240204,Guarulhos - SP,-23.455,-46.533,campo,chuva,90.81,0.0,99.87,11.97,2.5,6.88,1,2.0,0.0,24.02,77.51,937.3,5.19,1.88,1.78,NASA POWER Daily API,76.21
20240205,Guarulhos - SP,-23.455,-46.533,campo,garoa,84.17,3.09,193.43,10.48,2.5,0.38,0,4.0,0.0,23.64,74.7,936.8,2.72,4.12,2.66,NASA POWER Daily API,54.96
20240206,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,79.02,13.54,220.08,9.96,3.5,0.16,1,4.0,3.0,23.7,76.55,937.5,16.23,4.21,2.34,NASA POWER Daily API,75.63
20240207,Guarulhos - SP,-23.455,-46.533,transporte,garoa,63.43,11.17,19.84,22.51,3.5,0.11,0,4.0,1.0,24.25,75.16,935.5,22.48,7.49,2.54,NASA POWER Daily API,89.29
20240208,Guarulhos - SP,-23.455,-46.533,transporte,garoa,68.15,2.97,114.31,13.71,3.5,0.17,0,4.0,1.0,24.55,75.49,934.9,13.54,3.37,3.16,NASA POWER Daily API,50.14
20240209,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,50.28,4.11,62.95,9.29,2.5,0.92,0,4.0,3.0,24.62,76.95,936.0,13.18,1.4,3.63,NASA POWER Daily API,47.06
20240210,Guarulhos - SP,-23.455,-46.533,campo,garoa,44.74,9.32,257.38,2.7,3.5,0.12,0,4.0,0.0,25.13,73.14,937.5,1.64,11.15,3.58,NASA POWER Daily API,41.8
20240211,Guarulhos - SP,-23.455,-46.533,transporte,garoa,39.19,6.17,189.17,23.72,4.5,0.73,0,4.0,1.0,25.9,72.03,937.4,3.25,4.57,2.49,NASA POWER Daily API,59.84
20240212,Guarulhos - SP,-23.455,-46.533,campo,garoa,41.24,11.2,30.02,11.09,3.5,2.91,0,4.0,0.0,26.84,68.14,937.5,3.38,5.54,3.4,NASA POWER Daily API,67.85
20240213,Guarulhos - SP,-23.455,-46.533,campo,chuva,55.78,12.25,192.83,14.92,2.5,7.25,0,2.0,0.0,26.5,71.22,936.7,67.44,4.42,4.43,NASA POWER Daily API,66.64
20240214,Guarulhos - SP,-23.455,-46.533,campo,tempestade,100.0,6.54,129.17,14.82,3.5,25.62,1,3.0,0.0,23.18,87.61,936.0,1.61,3.2,4.03,NASA POWER Daily API,100.0
20240215,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,8.88,5.0,0.6,3.5,8.38,1,2.0,0.0,21.76,89.29,936.3,11.43,7.29,5.3,NASA POWER Daily API,100.0
20240216,Guarulhos - SP,-23.455,-46.533,manutencao,garoa,100.0,8.44,184.61,8.98,2.5,0.47,0,4.0,3.0,21.85,84.27,935.7,3.78,4.49,2.62,NASA POWER Daily API,57.61
20240217,Guarulhos - SP,-23.455,-46.533,transporte,garoa,100.0,6.74,164.3,17.57,2.5,1.91,0,4.0,1.0,22.33,83.83,933.7,16.25,1.66,2.18,NASA POWER Daily API,68.07
20240218,Guarulhos - SP,-23.455,-46.533,transporte,chuva,100.0,0.53,62.35,21.61,4.5,6.39,1,2.0,1.0,22.25,84.86,932.4,26.08,4.77,2.01,NASA POWER Daily API,100.0
20240219,Guarulhos - SP,-23.455,-46.533,campo,garoa,100.0,12.33,127.83,7.95,2.5,2.34,1,4.0,0.0,23.27,80.63,930.5,1.81,3.04,2.2,NASA POWER Daily API,84.55
20240220,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,13.51,5.0,12.35,3.5,11.81,1,2.0,0.0,23.32,82.64,929.3,6.52,1.81,2.23,NASA POWER Daily API,100.0
20240221,Guarulhos - SP,-23.455,-46.533,campo,chuva,100.0,6.29,29.07,6.82,4.5,18.64,1,2.0,0.0,22.88,86.96,929.7,10.42,10.24,2.8,NASA POWER Daily API,100.0
